ccpp_ubigeo,ccpp_name,year,month,week,day,variable,value
1601130017,QUISTOCOCHA,2023,5,20,2023-05-17,out_humm,85.84027777777777
1601130017,QUISTOCOCHA,2023,5,20,2023-05-17,rain,0
1601130017,QUISTOCOCHA,2023,5,20,2023-05-17,temp_out,27.888194444444444
1601130017,QUISTOCOCHA,2023,5,20,2023-05-18,out_humm,84.0625
1601130017,QUISTOCOCHA,2023,5,20,2023-05-18,rain,0
1601130017,QUISTOCOCHA,2023,5,20,2023-05-18,temp_out,28.17152777777778
1601130017,QUISTOCOCHA,2023,5,20,2023-05-19,out_humm,87.55118110236221
1601130017,QUISTOCOCHA,2023,5,20,2023-05-19,rain,0
1601130017,QUISTOCOCHA,2023,5,20,2023-05-19,temp_out,27.53307086614173
1601130017,QUISTOCOCHA,2023,5,21,2023-05-21,out_humm,88
1601130017,QUISTOCOCHA,2023,5,21,2023-05-21,rain,0
1601130017,QUISTOCOCHA,2023,5,21,2023-05-21,temp_out,27.633333333333333
1601130017,QUISTOCOCHA,2023,5,21,2023-05-22,out_humm,87.86111111111111
1601130017,QUISTOCOCHA,2023,5,21,2023-05-22,rain,0
1601130017,QUISTOCOCHA,2023,5,21,2023-05-22,temp_out,27.581944444444446
1601130017,QUISTOCOCHA,2023,5,21,2023-05-23,out_humm,85.74305555555556
1601130017,QUISTOCOCHA,2023,5,21,2023-05-23,rain,0
1601130017,QUISTOCOCHA,2023,5,21,2023-05-23,temp_out,28.04652777777778
1601130017,QUISTOCOCHA,2023,5,21,2023-05-24,out_humm,91.54861111111111
1601130017,QUISTOCOCHA,2023,5,21,2023-05-24,rain,0
1601130017,QUISTOCOCHA,2023,5,21,2023-05-24,temp_out,25.27986111111111
1601130017,QUISTOCOCHA,2023,5,21,2023-05-25,out_humm,85.82638888888889
1601130017,QUISTOCOCHA,2023,5,21,2023-05-25,rain,0
1601130017,QUISTOCOCHA,2023,5,21,2023-05-25,temp_out,26.98472222222222
1601130017,QUISTOCOCHA,2023,5,21,2023-05-26,out_humm,85.16666666666667
1601130017,QUISTOCOCHA,2023,5,21,2023-05-26,rain,0
1601130017,QUISTOCOCHA,2023,5,21,2023-05-26,temp_out,27.867361111111112
1601130017,QUISTOCOCHA,2023,5,21,2023-05-27,out_humm,89.21527777777777
1601130017,QUISTOCOCHA,2023,5,21,2023-05-27,rain,0
1601130017,QUISTOCOCHA,2023,5,21,2023-05-27,temp_out,26.374305555555555
1601130017,QUISTOCOCHA,2023,5,22,2023-05-28,out_humm,90.49305555555556
1601130017,QUISTOCOCHA,2023,5,22,2023-05-28,rain,0
1601130017,QUISTOCOCHA,2023,5,22,2023-05-28,temp_out,26.586805555555557
1601130017,QUISTOCOCHA,2023,5,22,2023-05-29,out_humm,86.74305555555556
1601130017,QUISTOCOCHA,2023,5,22,2023-05-29,rain,0
1601130017,QUISTOCOCHA,2023,5,22,2023-05-29,temp_out,27.34861111111111
1601130017,QUISTOCOCHA,2023,5,22,2023-05-30,out_humm,87.375
1601130017,QUISTOCOCHA,2023,5,22,2023-05-30,rain,0
1601130017,QUISTOCOCHA,2023,5,22,2023-05-30,temp_out,27.663194444444443
1601130017,QUISTOCOCHA,2023,5,22,2023-05-31,out_humm,87.50694444444444
1601130017,QUISTOCOCHA,2023,5,22,2023-05-31,rain,0
1601130017,QUISTOCOCHA,2023,5,22,2023-05-31,temp_out,26.90138888888889
1601130017,QUISTOCOCHA,2023,6,22,2023-06-01,out_humm,89.77777777777777
1601130017,QUISTOCOCHA,2023,6,22,2023-06-01,rain,0
1601130017,QUISTOCOCHA,2023,6,22,2023-06-01,temp_out,26.244444444444444
1601130017,QUISTOCOCHA,2023,6,22,2023-06-02,out_humm,91.85416666666667
1601130017,QUISTOCOCHA,2023,6,22,2023-06-02,rain,0
1601130017,QUISTOCOCHA,2023,6,22,2023-06-02,temp_out,25.28333333333333
1601130017,QUISTOCOCHA,2023,6,22,2023-06-03,out_humm,88.61805555555556
1601130017,QUISTOCOCHA,2023,6,22,2023-06-03,rain,0
1601130017,QUISTOCOCHA,2023,6,22,2023-06-03,temp_out,26.047916666666666
1601130017,QUISTOCOCHA,2023,6,23,2023-06-04,out_humm,88.38194444444444
