ubigeo,population_center,lat,lon,malaria,dengue,lepto,pr_mean,ro_mean,soil_mean,tmmx_mean,tmmn_mean,etp_mean,humidity_mean,pop_mean,def_mean,ghs_mean,ln_mean,malaria_mean,pr_diff,ro_diff,soil_diff,tmmx_diff,tmmn_diff,etp_diff,humidity_diff,pop_diff,def_diff,ghs_diff,ln_diff,malaria_diff,hc_group_2,hc_group_3,hc_group_4,pca_score,pca_group_2,pca_group_3,pca_group_4
1601130005,NINA RUMI,-3.8447595399999273,-73.38588096899997,0.1011904761904762,0,0,2357.28233075,1375.71377965,448.18874985,378.36875185,262.40319345,31.246605166666665,0.2181892,0.7246117999999999,0.8038428,40.194124351019376,1.0928952,39312,1297.5795262999998,1200.5713507,64.86267470000001,-0.2647656999999981,-0.2647656999999981,0.7534536999999943,7.498000000000227e-4,0.19467939999999995,0.06971260000000001,11.168291756363177,0.4641113999999999,0.08779761904761904,1,1,2,3.9656511193243555,1,1,1
1601130097,SHUSHUNA,-3.8301515449999783,-73.33552295699997,0,0.01020408163265306,0,2362.1568448,1380.01462135,448.0025773,378.1067159,262.35630449999996,30.370597724999996,0.21815845,2.1518078,0.96386055,191.63072929855664,2.9557582,0,1292.0457474,1194.8893735,66.73402060000001,-0.3638679999999681,-0.3638679999999681,-0.7785379333333289,6.712999999999858e-4,0.9427582,-0.2604455000000001,43.419220055710326,1.3573250000000003,0,1,1,1,7.196777573925539,1,1,1
1601130026,SAN JOSE,-3.931735723999964,-73.39156817399999,0.02439024390243902,0.01626016260162601,0.008130081300813,2351.3301247,1372.7800405500002,461.10461245,377.12805605,262.03918145,31.905517316666668,0.21744565,0.4851267500000001,0.630736,14.429005315110098,0.67367705,184.5,1299.5703752,1205.0475601,64.59496189999999,-0.4694051000000172,-0.4694051000000172,-0.05204561666666407,7.931000000000188e-4,0.17570650000000004,0.33541600000000005,11.718805365730194,0.3714907,0.008130081300813,1,1,2,1.9278618386631774,1,1,2
1601130028,EL DORADO,-3.954165474999968,-73.40641990799998,0.01111111111111111,0,0,2347.7097916,1370.079006,463.376813,377.2517474,262.12600610000004,31.976793975,0.21717355,0.4164076,0.5628769499999999,16.101772151898736,0.66223285,135,1299.1469234,1205.3397356,64.13194400000003,-0.4897727999999688,-0.48977280000002565,-0.22956888333333225,8.42499999999996e-4,0.22616340000000007,-0.04264410000000007,11.519240506329114,0.3391907,-0.01111111111111111,1,1,2,1.370625004417891,1,1,2
1601130098,VILLA CRUZ,-3.853170524999939,-73.37349268399998,0,0,0,2358.4487179499997,1376.08704585,450.1419413999999,378.0669117,262.3148921,30.786917945833338,0.2181586,1.4938112,1.0228322,75.05504238896621,1.57208165,0,1297.4698545,1200.7651223,65.50918719999999,-0.3033116000000291,-0.3033116000000291,0.5584573250000062,7.179999999999964e-4,0.8470867999999998,0.05503139999999995,19.641655067695808,0.7256012999999999,0,1,1,1,5.2776936726781365,1,1,1
1601130027,NUEVA ESPERANZA,-3.906267507999928,-73.41363058399997,0.02777777777777777,0,0,2354.18785295,1376.9226444,456.42348165,377.54216535,261.89790695,31.68156241666667,0.21754315,0.26531415,0.3651606,5.391477776370774,0.5816775,18,1302.2906965,1205.4409492,63.8058853,-0.30271970000001147,-0.30271970000001147,0.7019524833333364,8.50500000000004e-4,0.05749209999999999,0.5220817999999999,3.9542864378878058,0.3817188,-0.02777777777777777,1,1,2,2.0638455936908087,1,1,1
1601120049,SAN JUAN DE MUNICH,-3.935639684999955,-73.32015977799995,0.14965986394557823,0.10884353741496598,0.2108843537414966,2340.7724345,1361.1892374,466.19479705,376.9743719000001,263.19857290000004,33.1815651875,0.21798585,0.54186495,0.53265745,2.977241117713997,0.5397706499999999,1543.5,1289.6825232,1195.8043704000002,66.23625190000001,-0.6803725999999983,-0.6803725999999983,-0.7186731083333342,6.560999999999928e-4,0.05876989999999993,0.3871943,2.871159438614237,0.3821053,-0.08843537414965986,1,1,2,0.4913045833188414,1,2,2
1601130064,SANTA BARBARA,-3.944115303999979,-73.32907199499994,0,0.025,0.375,2340.0851190000003,1360.2344237,467.01382195,376.9991439,263.14426679999997,33.047137120833334,0.21788365,0.536453,0.46340465,5.214855118309503,0.54119365,0,1290.8380264000002,1197.0418172,65.82734690000001,-0.7285396000000333,-0.7285396000000333,-0.5545859083333369,6.816999999999795e-4,0.0726346,0.3181209,4.7050487156775915,0.3940725,0,1,1,2,0.11808221830861401,1,2,2
1601120076,5 DE DICIEMBRE,-3.8814579729999537,-73.31897711599999,0.04,0,0,2349.50354085,1370.16419055,458.0585698,376.96619865,262.65524934999996,32.359427358333335,0.2181559,1.7322607,0.52512815,49.35577774965195,1.31880365,0,1288.0217897,1192.8001287,66.93753279999999,-0.4514088999999899,-0.4514088999999899,-0.30074530000000266,6.397999999999959e-4,0.9494063999999998,0.05706309999999998,13.326414377926843,0.9757273,0,1,1,2,3.7815434458747403,1,1,1
1601130063,BUENA ESPERANZA,-3.8989590399999656,-73.32251329799993,0.0588235294117647,0,0.0588235294117647,2346.9773031,1367.27840825,460.698657,376.8979657,262.78189455,33.03927506666666,0.2180768,1.1650467,0.5931198,20.98678051865908,0.89650525,0,1289.151395,1194.5914069,66.71258240000003,-0.49958379999998215,-0.4995837000000165,-0.21730815000000092,6.540000000000157e-4,0.4412456000000001,0.2758378,8.678937381404179,0.6971969,0,1,1,2,2.3806735434154005,1,1,1
