ubigeo,population_center,lat,lon,malaria,dengue,lepto,pr_mean,ro_mean,soil_mean,tmmx_mean,tmmn_mean,etp_mean,humidity_mean,pop_mean,def_mean,ghs_mean,ln_mean,malaria_mean,pr_diff,ro_diff,soil_diff,tmmx_diff,tmmn_diff,etp_diff,humidity_diff,pop_diff,def_diff,ghs_diff,ln_diff,malaria_diff,hc_group_2,hc_group_3,hc_group_4,pca_score,pca_group_2,pca_group_3,pca_group_4
1601130018,ZUNGARO COCHA,-3.828583225999978,-73.35497277799993,0.03075030750307503,0.007380073800738,0.001230012300123,2360.4024306,1378.2689718,446.72199145,378.3820108,262.3985248,30.264985920833336,0.21813175,1.6663601,0.99757905,139.76006329113923,2.46285325,103251,1293.6605614,1196.9366368,65.989441099999965,-0.3318648000000053,-0.3318648000000053,-0.24094872500000264,6.871000000000238e-4,0.9788718,-0.6157924999999999,33.357088607594946,1.0761908999999998,0.01722017220172201,1,1,1,6.873933857128898,1,1,1
1601130024,VARILLAL,-3.8876902749999545,-73.35141680199996,0.14535666218034993,0.01480484522207267,0.01480484522207267,2355.0589693,1373.2234143,457.04841425,377.1177577,262.2530699,31.768172804166667,0.21800555,1.5239253499999998,0.99656895,45.2827931121803,1.12491425,27119.5,1295.6674926,1200.2879584,66.14145689999998,-0.4028195999999866,-0.4028195999999866,-0.03245842500000151,6.989000000000023e-4,0.7498712999999999,0.6402194999999999,14.86414282096733,0.8038579,0.0740242261103634,1,1,1,4.582642889663877,1,1,1
1601130017,QUISTOCOCHA,-3.8229990479999287,-73.32617853399995,0.00690607734806629,0.00828729281767955,0.01657458563535911,2361.7113785,1380.27525255,447.32369775,378.14064665,262.301431,30.301093254166663,0.21820095,2.4610431,0.90351245,252.340911969601,4.0775847999999995,156384,1289.9703902,1192.7352941,66.77810450000004,-0.3467716999999766,-0.34677160000001095,-0.9318899750000008,6.48700000000002e-4,0.8937151999999999,-0.08573949999999997,43.93172894236861,1.3495453999999998,-0.01197053406998158,1,1,1,8.668631425917777,1,1,1
1601130065,SAN CARLOS,-3.959130398999946,-73.34505209399998,0.01162790697674418,0.01162790697674418,0.03488372093023256,2338.8964919,1359.09748785,468.277148,377.1148796,263.0809038,32.891479687499995,0.21779435,0.5107896000000001,0.6318917,7.377088607594937,0.5436677999999999,301,1292.0377564,1198.5699633,65.33784559999998,-0.7807253999999944,-0.7807253999999944,-0.29299590833333156,7.176999999999878e-4,0.09100380000000002,0.15369580000000005,5.1984810126582275,0.40608959999999994,0.01162790697674418,1,1,2,0.10868787301862043,1,2,2
1601130026,SAN JOSE,-3.931735723999964,-73.39156817399999,0.02439024390243902,0.01626016260162601,0.008130081300813,2351.3301247,1372.7800405500002,461.10461245,377.12805605,262.03918145,31.905517316666668,0.21744565,0.4851267500000001,0.630736,14.429005315110098,0.67367705,184.5,1299.5703752,1205.0475601,64.59496189999999,-0.4694051000000172,-0.4694051000000172,-0.05204561666666407,7.931000000000188e-4,0.17570650000000004,0.33541600000000005,11.718805365730194,0.3714907,0.008130081300813,1,1,2,1.9278618386631774,1,1,2
1601130025,MORALILLO,-3.915436227999976,-73.34036586599996,0.03980099502487562,0,0.00497512437810945,2347.6271182,1366.9784957000002,462.09282035,376.8317511,262.56294219999995,32.87210755416666,0.2178933,0.96488,0.69431515,19.06000252908447,0.73400855,402,1292.8779606,1199.1894758,66.11220889999998,-0.5421564000000103,-0.5421564000000103,-0.3263463583333319,7.000000000000062e-4,0.36746539999999994,0.5706959,9.381765300961051,0.5005103,0,1,1,2,2.0246060241407546,1,1,2
1601130064,SANTA BARBARA,-3.944115303999979,-73.32907199499994,0,0.025,0.375,2340.0851190000003,1360.2344237,467.01382195,376.9991439,263.14426679999997,33.047137120833334,0.21788365,0.536453,0.46340465,5.214855118309503,0.54119365,0,1290.8380264000002,1197.0418172,65.82734690000001,-0.7285396000000333,-0.7285396000000333,-0.5545859083333369,6.816999999999795e-4,0.0726346,0.3181209,4.7050487156775915,0.3940725,0,1,1,2,0.11808221830861401,1,2,2
1601130012,3 DE OCTUBRE,-3.9662161749999423,-73.36157188999994,0,0,0,2339.67144765,1359.8432669499998,468.12246085,377.23478005,262.93558265,32.7928054375,0.21780325,0.5312186999999999,0.7227921500000001,11.137221377912867,0.6186964,0,1292.8482461,1199.8969977,65.20995349999998,-0.7407450999999696,-0.7407451000000265,0.08258545833332676,7.328999999999808e-4,0.1760448,0.00915089999999996,8.861068895643363,0.32337,0,1,1,2,0.503100801846856,1,2,2
1601120049,SAN JUAN DE MUNICH,-3.935639684999955,-73.32015977799995,0.14965986394557823,0.10884353741496598,0.2108843537414966,2340.7724345,1361.1892374,466.19479705,376.9743719000001,263.19857290000004,33.1815651875,0.21798585,0.54186495,0.53265745,2.977241117713997,0.5397706499999999,1543.5,1289.6825232,1195.8043704000002,66.23625190000001,-0.6803725999999983,-0.6803725999999983,-0.7186731083333342,6.560999999999928e-4,0.05876989999999993,0.3871943,2.871159438614237,0.3821053,-0.08843537414965986,1,1,2,0.4913045833188414,1,2,2
1601130045,SAN LUCAS,-4.10399728699997,-73.45458188499998,0.03763440860215054,0,0,2294.3003616,1313.6549854,476.73248795,379.21080045,263.81931495000003,33.161389570833336,0.21741055,0.3593169,0.80092125,9.380901151752942,0.60235265,1302,1243.1733121999998,1151.1158056,61.402020900000025,-0.6051563000000328,-0.6051563000000328,-0.5189318416666637,0.0011827,0.15998259999999995,-0.3988584999999999,4.6780154410834065,0.4814425000000001,-0.06451612903225806,2,2,3,-1.5051174059365744,2,2,3
