fid,Latitud,Longitud,Fecha,foto,class,type
61,-3.8582,-73.4095,2023-03-25,DCIM/cobertura_20230325152447029.jpg,Vegetation,cobertura
62,-3.8574,-73.4093,2023-03-25,DCIM/cobertura_20230325152928932.jpg,Water bodies,cobertura
63,-3.8582,-73.4106,2023-03-25,DCIM/cobertura_20230325153630951.jpg,Vegetation,cobertura
64,-4.2167,-73.4821,2023-03-26,DCIM/cobertura_20230326114910375.jpg,Vegetation,cobertura
65,-4.2171,-73.481,2023-03-26,DCIM/cobertura_20230326114955589.jpg,Vegetation,cobertura
66,-4.2191,-73.4821,2023-03-26,DCIM/cobertura_20230326120107195.jpg,Vegetation,cobertura
67,-4.2202,-73.4826,2023-03-26,DCIM/cobertura_20230326120934614.jpg,Vegetation,cobertura
68,-4.22,-73.4818,2023-03-26,DCIM/cobertura_20230326123719777.jpg,Vegetation,cobertura
69,-3.9607,-73.3434,2023-03-29,DCIM/cobertura_20230329090723049.jpg,Vegetation,cobertura
70,-3.9607,-73.3443,2023-03-29,DCIM/cobertura_20230329090939058.jpg,Vegetation,cobertura
71,-3.9602,-73.3432,2023-03-29,DCIM/cobertura_20230329091457130.jpg,Vegetation,cobertura
72,-3.9597,-73.3437,2023-03-29,DCIM/cobertura_20230329092057329.jpg,Vegetation,cobertura
73,-3.9595,-73.3439,2023-03-29,DCIM/cobertura_20230329092200051.jpg,Vegetation,cobertura
74,-3.9594,-73.3443,2023-03-29,DCIM/cobertura_20230329092625730.jpg,Vegetation,cobertura
75,-3.9594,-73.3444,2023-03-29,DCIM/cobertura_20230329093037041.jpg,Vegetation,cobertura
76,-3.9594,-73.345,2023-03-29,DCIM/cobertura_20230329093156929.jpg,Vegetation,cobertura
77,-3.9595,-73.3455,2023-03-29,DCIM/cobertura_20230329093316389.jpg,Vegetation,cobertura
78,-4.1506,-73.4562,2023-03-29,DCIM/cobertura_20230329132150563.jpg,Vegetation,cobertura
79,-4.1507,-73.457,2023-03-29,DCIM/cobertura_20230329132451496.jpg,Vegetation,cobertura
80,-4.1508,-73.4573,2023-03-29,DCIM/cobertura_20230329132639835.jpg,Vegetation,cobertura
81,-4.1507,-73.4577,2023-03-29,DCIM/cobertura_20230329133053784.jpg,Vegetation,cobertura
82,-4.1508,-73.4577,2023-03-29,DCIM/cobertura_20230329133215376.jpg,Vegetation,cobertura
83,-4.103,-73.4552,2023-03-30,DCIM/cobertura_20230330095231886.jpg,Vegetation,cobertura
84,-4.1032,-73.4545,2023-03-30,DCIM/cobertura_20230330095525470.jpg,Vegetation,cobertura
85,-4.1034,-73.4541,2023-03-30,DCIM/cobertura_20230330095641916.jpg,Vegetation,cobertura
86,-4.1037,-73.4544,2023-03-30,DCIM/cobertura_20230330095812369.jpg,Vegetation,cobertura
87,-4.1042,-73.4539,2023-03-30,DCIM/cobertura_20230330100215543.jpg,Vegetation,cobertura
88,-4.0454,-73.4385,2023-03-30,DCIM/cobertura_20230330160922509.jpg,Vegetation,cobertura
89,-4.0462,-73.4382,2023-03-30,DCIM/cobertura_20230330162111427.jpg,Vegetation,cobertura
90,-3.8857,-73.355,2023-03-31,DCIM/cobertura_20230331150844426.jpg,Vegetation,cobertura
91,-3.8836,-73.355,2023-03-31,DCIM/cobertura_20230331151827398.jpg,Vegetation,cobertura
