ubigeo,population_center,lat,lon,malaria,dengue,lepto,pr_mean,ro_mean,soil_mean,tmmx_mean,tmmn_mean,etp_mean,humidity_mean,pop_mean,def_mean,ghs_mean,ln_mean,malaria_mean,pr_diff,ro_diff,soil_diff,tmmx_diff,tmmn_diff,etp_diff,humidity_diff,pop_diff,def_diff,ghs_diff,ln_diff,malaria_diff
1601130022,PEÑA NEGRA,-3.8631473619999497,-73.33677619199995,0.009510869565217392,0.010869565217391304,0.004076086956521739,2357.2706497,1375.4485243,453.75923539999997,377.40602160000003,262.3688373,31.283936504166668,0.2181338,2.13441455,0.7803863,94.51511127971673,1.90086975,1840,1292.5043578000002,1196.5847776,66.71017139999998,-0.3949885999999765,-0.39498860000003333,-0.30577669166666865,6.779999999999842e-4,1.2400033000000001,0.13829859999999994,23.58662114314619,0.9833933000000001,0.004076086956521739
1601130004,PUERTO ALMENDRAS,-3.831724965999967,-73.37801906399994,0.10945273631840796,0,0,2357.7803109,1376.0656963000001,446.3376578,378.5630378,262.4592455,30.957288420833336,0.2181636,0.92539165,0.83024385,63.458481012658225,1.4021699,5326.5,1295.5607208000001,1199.0686668,65.13707119999998,-0.2843606000000136,-0.2843606000000136,0.4044057416666682,7.263999999999882e-4,0.5142534999999999,-0.3676165,15.333417721518991,0.4463725999999999,0.0845771144278607
1601130070,UNION PROGRESO,-3.8568092579999416,-73.33871701599998,0.004629629629629629,0,0,2358.30895315,1376.2983064,452.54153214999997,377.56905515,262.36719325,31.107687362500002,0.21814460000000002,2.1533891499999998,0.86435885,103.51842238541404,2.08582665,0,1292.8007329000002,1196.6051302,66.67937009999997,-0.38889770000002954,-0.3888976999999727,-0.3324257750000008,6.803999999999977e-4,1.2695911,-0.022807699999999986,26.430615345657117,1.0270503,0
1601130005,NINA RUMI,-3.8447595399999273,-73.38588096899997,0.10119047619047619,0,0,2357.28233075,1375.7137796499999,448.18874985,378.36875185,262.40319345,31.246605166666665,0.2181892,0.7246117999999999,0.8038428,40.194124351019376,1.0928952,39312,1297.5795262999998,1200.5713507,64.86267470000001,-0.2647656999999981,-0.2647656999999981,0.7534536999999943,7.498000000000227e-4,0.19467939999999995,0.06971260000000001,11.168291756363175,0.46411139999999995,0.08779761904761904
1601130024,VARILLAL,-3.8876902749999545,-73.35141680199996,0.14535666218034993,0.014804845222072678,0.014804845222072678,2355.0589693,1373.2234143,457.04841425,377.11775769999997,262.2530699,31.768172804166667,0.21800555,1.5239253499999998,0.99656895,45.2827931121803,1.12491425,27119.5,1295.6674926,1200.2879584,66.14145689999998,-0.4028195999999866,-0.4028195999999866,-0.03245842500000151,6.989000000000023e-4,0.7498712999999999,0.6402194999999999,14.86414282096733,0.8038579,0.0740242261103634
1601130027,NUEVA ESPERANZA,-3.906267507999928,-73.41363058399997,0.027777777777777776,0,0,2354.18785295,1376.9226444,456.42348165,377.54216535,261.89790695,31.68156241666667,0.21754315000000002,0.26531415,0.3651606,5.391477776370774,0.5816775,18,1302.2906965,1205.4409492,63.8058853,-0.30271970000001147,-0.30271970000001147,0.7019524833333364,8.50500000000004e-4,0.05749209999999999,0.5220817999999999,3.9542864378878058,0.38171879999999997,-0.027777777777777776
1601130025,MORALILLO,-3.915436227999976,-73.34036586599996,0.03980099502487562,0,0.004975124378109453,2347.6271182,1366.9784957000002,462.09282035,376.8317511,262.56294219999995,32.87210755416666,0.2178933,0.96488,0.69431515,19.06000252908447,0.73400855,402,1292.8779606,1199.1894758,66.11220889999998,-0.5421564000000103,-0.5421564000000103,-0.3263463583333319,7.000000000000062e-4,0.36746539999999994,0.5706959,9.381765300961051,0.5005103,0
1601130063,BUENA ESPERANZA,-3.8989590399999656,-73.32251329799993,0.058823529411764705,0,0.058823529411764705,2346.9773031,1367.27840825,460.698657,376.8979657,262.78189455,33.03927506666666,0.21807680000000002,1.1650467,0.5931198,20.98678051865908,0.89650525,0,1289.1513949999999,1194.5914069,66.71258240000003,-0.49958379999998215,-0.4995837000000165,-0.21730815000000092,6.540000000000157e-4,0.4412456000000001,0.2758378,8.678937381404179,0.6971969,0
1601130064,SANTA BARBARA,-3.944115303999979,-73.32907199499994,0,0.025,0.375,2340.0851190000003,1360.2344237,467.01382194999996,376.99914390000004,263.14426679999997,33.047137120833334,0.21788364999999998,0.536453,0.46340465,5.214855118309503,0.54119365,0,1290.8380264000002,1197.0418172,65.82734690000001,-0.7285396000000333,-0.7285396000000333,-0.5545859083333369,6.816999999999795e-4,0.0726346,0.3181209,4.7050487156775915,0.3940725,0
1601130065,SAN CARLOS,-3.959130398999946,-73.34505209399998,0.011627906976744186,0.011627906976744186,0.03488372093023256,2338.8964919,1359.09748785,468.277148,377.1148796,263.0809038,32.891479687499995,0.21779435,0.5107896000000001,0.6318917,7.377088607594937,0.5436677999999999,301,1292.0377564,1198.5699633,65.33784559999998,-0.7807253999999944,-0.7807253999999944,-0.29299590833333156,7.176999999999878e-4,0.09100380000000002,0.15369580000000005,5.1984810126582275,0.40608959999999994,0.011627906976744186
1601130028,EL DORADO,-3.954165474999968,-73.40641990799998,0.011111111111111112,0,0,2347.7097916000002,1370.079006,463.37681299999997,377.2517474,262.12600610000004,31.976793975,0.21717355,0.4164076,0.5628769499999999,16.101772151898736,0.66223285,135,1299.1469234,1205.3397356,64.13194400000003,-0.4897727999999688,-0.48977280000002565,-0.22956888333333225,8.42499999999996e-4,0.22616340000000007,-0.042644100000000074,11.519240506329114,0.3391907,-0.011111111111111112
