fid;UBIGEO;NOMCP;DEP;PROV;DIST;UBIGEOCP;LNG;LAT;DENGUE;MALARIA;LEPTOSPIROSIS;GROUP;fid,UBIGEO,NOMCP,DEP,PROV,DIST,UBIGEOCP,LNG,LAT,GROUP
19;160113;PAUJIL II ZONA;LORETO;MAYNAS;SAN JUAN BAUTISTA;1601130030;-73.469968;-4.00331;0;0;0;INNOVALAB;"19,""160113"",PAUJIL II ZONA,LORETO,MAYNAS,SAN JUAN BAUTISTA,""1601130030"",""-73.469968"",""-4.00331"",INNOVALAB"
20;160113;24 DE JUNIO;LORETO;MAYNAS;SAN JUAN BAUTISTA;1601130029;-73.423672;-4.02111;0;0;0;INNOVALAB;"20,""160113"",24 DE JUNIO,LORETO,MAYNAS,SAN JUAN BAUTISTA,""1601130029"",""-73.423672"",""-4.02111"",INNOVALAB"
21;160113;NUEVO HORIZONTE;LORETO;MAYNAS;SAN JUAN BAUTISTA;1601130033;-73.445628;-4.071663;0;8;0;INNOVALAB;"21,""160113"",NUEVO HORIZONTE,LORETO,MAYNAS,SAN JUAN BAUTISTA,""1601130033"",""-73.445628"",""-4.071663"",INNOVALAB"
22;160113;EX PETROLEROS II ZONA;LORETO;MAYNAS;SAN JUAN BAUTISTA;1601130039;-73.47498;-4.064827;0;0;0;INNOVALAB;"22,""160113"",EX PETROLEROS II ZONA,LORETO,MAYNAS,SAN JUAN BAUTISTA,""1601130039"",""-73.47498"",""-4.064827"",INNOVALAB"
23;160113;EX PETROLERO I ZONA;LORETO;MAYNAS;SAN JUAN BAUTISTA;1601130037;-73.453248;-4.094611;1;19;0;INNOVALAB;"23,""160113"",EX PETROLERO I ZONA,LORETO,MAYNAS,SAN JUAN BAUTISTA,""1601130037"",""-73.453248"",""-4.094611"",INNOVALAB"
24;160113;SAN PEDRO PINTUYACU;LORETO;MAYNAS;SAN JUAN BAUTISTA;1601130040;-73.402808;-4.103035;0;0;0;INNOVALAB;"24,""160113"",SAN PEDRO PINTUYACU,LORETO,MAYNAS,SAN JUAN BAUTISTA,""1601130040"",""-73.402808"",""-4.103035"",INNOVALAB"
25;160113;SAN LUCAS;LORETO;MAYNAS;SAN JUAN BAUTISTA;1601130045;-73.454582;-4.103997;0;8;0;INNOVALAB;"25,""160113"",SAN LUCAS,LORETO,MAYNAS,SAN JUAN BAUTISTA,""1601130045"",""-73.454582"",""-4.103997"",INNOVALAB"
26;160113;UNION;LORETO;MAYNAS;SAN JUAN BAUTISTA;1601130043;-73.415961;-4.127523;0;0;0;INNOVALAB;"26,""160113"",UNION,LORETO,MAYNAS,SAN JUAN BAUTISTA,""1601130043"",""-73.415961"",""-4.127523"",INNOVALAB"
27;160113;10 DE OCTUBRE I ZONA;LORETO;MAYNAS;SAN JUAN BAUTISTA;1601130044;-73.448246;-4.123837;0;0;0;INNOVALAB;"27,""160113"",10 DE OCTUBRE I ZONA,LORETO,MAYNAS,SAN JUAN BAUTISTA,""1601130044"",""-73.448246"",""-4.123837"",INNOVALAB"
28;160113;CAHUIDE;LORETO;MAYNAS;SAN JUAN BAUTISTA;1601130056;-73.487435;-4.230846;12;2;2;INNOVALAB;"28,""160113"",CAHUIDE,LORETO,MAYNAS,SAN JUAN BAUTISTA,""1601130056"",""-73.487435"",""-4.230846"",INNOVALAB"
29;160113;EL TRIUNFO;LORETO;MAYNAS;SAN JUAN BAUTISTA;1601130046;-73.47431;-4.154149;0;2;0;INNOVALAB;"29,""160113"",EL TRIUNFO,LORETO,MAYNAS,SAN JUAN BAUTISTA,""1601130046"",""-73.47431"",""-4.154149"",INNOVALAB"
30;160113;12 DE ABRIL;LORETO;MAYNAS;SAN JUAN BAUTISTA;1601130055;-73.483968;-4.219298;1;1;0;INNOVALAB;"30,""160113"",12 DE ABRIL,LORETO,MAYNAS,SAN JUAN BAUTISTA,""1601130055"",""-73.483968"",""-4.219298"",INNOVALAB"
