UBIGEO,NOMCP,DEP,PROV,DIST,UBIGEOCP,LNG,LAT,GROUP,pr2010,pr2021,delta_pr,ro2021,ro2010,delta_ro,soil2021,soil2010,delta_soil,tmmx2021,tmmx2010,delta_tmax,tmmn2021,tmmn2010,delta_tmin,ETP_2021,ETP_2010,delta_ETP,humidity_2021,humidity_2010,delta_humidity,pop2020,pop2010,delta_pop,def_2010,def_2021,delta_def,ghsl2010,ghsl2020,delta_ghs,ln_2021,ln_2014,delta_ln
160113,PEÑA NEGRA,LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130022,-73.336776,-3.863147,INNOVALAB,1711.0184708,3003.5228286,75.54005873447291,1973.7409131,777.1561355,153.96967519662593,487.1143211,420.4041497,15.868104881363397,377.2085273,377.6035159,-0.10460405779287832,262.171343,262.5663316,-0.15043383422127732,31.03127380909091,31.682306454545454,-2.0548776850845156,0.2184728,0.2177948,0.3113021982159281,2.7544162,1.5144129,81.88013321862223,0.711237,0.8495356,19.444798288053057,6272.2658119,8133.4476984,29.6731985269006,2.3925664,1.4091731,69.7851314363012
160113,PUERTO ALMENDRAS,LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130004,-73.378019,-3.831725,INNOVALAB,1709.9999505,3005.5606713,75.76378703526753,1975.6000297,776.5313629,154.41342411747684,478.9061934,413.7691222,15.742371217472153,378.4208575,378.7052181,-0.07508758432922517,262.3170652,262.6014258,-0.10828600763827749,30.889054345454547,30.846907945454547,0.13663087423389714,0.2185268,0.2178004,0.3335163755438411,1.1825184,0.6682649,76.95354042985048,1.0140521,0.6464356,-36.2522300382791,4393.5828338,5587.2220441,27.167786643676955,1.6253562,1.1789836,37.86079806368807
160113,UNION PROGRESO,LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130070,-73.338717,-3.856809,INNOVALAB,1711.9085867,3004.7093196,75.51809383654634,1974.6008715,777.9957413,153.80612857861158,485.8812172,419.2018471,15.906268200219476,377.3746063,377.763504,-0.10294739853959782,262.1727444,262.5616421,-0.14811672294914122,30.845587781818182,31.547246463636363,-2.2241519006324793,0.2184848,0.2178044,0.31239038329804064,2.7881847,1.5185936,83.60308511770364,0.8757627,0.852955,-2.604324207916138,6925.6063029,8950.4983471,29.237758481190376,2.5993518,1.5723015,65.3214602924439
160113,NINA RUMI,LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130005,-73.385881,-3.84476,INNOVALAB,1708.4925676,3006.0720939,75.94879550004545,1975.999455,775.4281043,154.82690710363,480.6200872,415.7574125,15.601086775572526,378.236369,378.5011347,-0.0699510980884777,262.2708106,262.5355763,-0.10084945580763871,31.319500354545454,31.032016018181817,0.9264120519762494,0.2185641,0.2178143,0.34423818821813934,0.8219515,0.6272721,31.035877412689,0.7689865,0.8386991,9.065516754845502,2752.292138,3661.7422591,33.04337168803845,1.3249509,0.8608395,53.913813202112586
160113,NUEVA ESPERANZA,LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130027,-73.413631,-3.906268,INNOVALAB,1703.0425047,3005.3332012,76.46847879051646,1979.643119,774.2021698,155.7010553860114,488.3264243,424.520539,15.030105598730525,377.3908055,377.6935252,-0.08014956037165645,261.7465471,262.0492668,-0.11552014767934908,31.87550771818182,31.390983072727273,1.543515360229365,0.2179684,0.2171179,0.391722653912922,0.2940602,0.2365681,24.302558121741683,0.1041197,0.6262015,501.42461032830477,266.3736965,554.9882982,108.3495125428047,0.7725369,0.3908181,97.67173014760574
160113,MORALILLO,LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130025,-73.340366,-3.915436,INNOVALAB,1701.1881379,2994.0660985,75.99852901607751,1966.5732336,767.3837578,156.26985372194179,495.1489248,429.0367159,15.409452489704737,376.5606729,377.1028293,-0.14376884973427334,262.291864,262.8340204,-0.20627329718387183,32.50805326363636,33.137982054545454,-1.9009268273252775,0.2182433,0.2175433,0.32177502134058195,1.1486127,0.7811473,47.04175512096118,0.4089672,0.9796631,139.54564082400742,1133.255099,1880.4920346,65.9372224540946,0.9842637,0.4837534,103.46393431033249
160113,BUENA ESPERANZA,LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130063,-73.322513,-3.898959,INNOVALAB,1702.4016056,2991.5530006,75.72545695207137,1964.5741117,769.9827048,155.1452259191056,494.0549482,427.3423658,15.611038768672449,376.6481738,377.1477576,-0.1324636803302532,262.5321027,263.0316864,-0.18993289623679974,32.62990984545455,33.222978681818184,-1.7851163859916075,0.2184038,0.2177498,0.3003447075496812,1.3856695,0.9444239,46.72113867512248,0.4552009,0.7310387,60.59693642960723,1104.7785792,1723.3736114,55.9926707347948,1.2451037,0.5479068,127.24735301697295
160113,SANTA BARBARA,LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130064,-73.329072,-3.944115,INNOVALAB,1694.6661058,2985.5041322,76.17064045726194,1958.7553323,761.7135151,157.1511852514326,499.9274954,434.1001485,15.16409223250934,376.6348741,377.3634137,-0.19306047527416492,262.779997,263.5085366,-0.2764766596939286,32.5317985,33.39096276363637,-2.5730442985969195,0.2182245,0.2175428,0.31336362315828403,0.5727703,0.5001357,14.522978463644966,0.3043442,0.6224651,104.5266839322057,238.1486961,634.5475146,166.45013178386242,0.7382299,0.3441574,114.50356726311855
160113,SAN CARLOS,LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130065,-73.345052,-3.95913,INNOVALAB,1692.8776137,2984.9153701,76.32198251922576,1958.3824695,759.8125062,157.7454903044869,500.9460708,435.6082252,14.999222195586766,376.7245169,377.5052423,-0.20681180352445513,262.6905411,263.4712665,-0.29632278706186516,32.48192695454546,33.110634181818185,-1.898807566838949,0.2181532,0.2174355,0.3300748957736836,0.5562915,0.4652877,19.558608577015903,0.5550438,0.7087396,27.690751612755616,378.1151346,800.938156,111.82388185738601,0.7467126,0.340623,119.21966514298798
160113,EL DORADO,LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130028,-73.40642,-3.954165,INNOVALAB,1698.1363299,2997.2832533,76.50427710221031,1972.7488738,767.4091382,157.06611709461657,495.442785,431.310841,14.869077682190705,377.006861,377.4966338,-0.12974229599606268,261.8811197,262.3708925,-0.1866719266505623,32.035491709090905,31.90046691818182,0.4232690112511405,0.2175948,0.2167523,0.3886925305982894,0.5294893,0.3033259,74.56118979618954,0.584199,0.5415549,-7.2995845593710476,770.6002379,1666.7143104,116.28780117458096,0.8318282,0.4926375,68.85198548628554
160113,NUEVO MILAGRO,LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130034,-73.374641,-3.938261,INNOVALAB,1700.3967696,2998.0975078,76.31752549760903,1971.4787693,767.5107764,156.8665913131796,495.6623545,430.5463311,15.124045589619941,376.7063023,377.2918545,-0.1551987388585393,261.9441213,262.5296735,-0.22304229163641384,32.11015834545454,32.37110878181818,-0.8061214032625403,0.2179974,0.2172507,0.3437043010678524,0.6840985,0.4770663,43.39694503678002,0.5974134,0.927427,55.24040806583851,726.1420929,1762.3015207,142.69375621262793,0.8712194,0.5111191,70.4533053059453
160113,VILLA EL BUEN PASTOR,LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130036,-73.362468,-3.94906,INNOVALAB,1697.1551306,2992.5145915,76.3253421884921,1965.9016499,763.8887182,157.3544553102421,498.1016499,432.7999009,15.088207937249084,376.7067879,377.3862706,-0.18004966076791723,262.2597037,262.9391864,-0.2584181952119991,32.34262319090909,32.674062681818185,-1.0143810218419234,0.2180965,0.217375,0.3319148936170148,0.73568770000000006,0.5060649,45.37418026818299,0.6248321,0.7988027,27.842775683259546,748.8538553,1702.2274486,127.31103493058293,0.83656,0.502072,66.62152041938208
160113,SAN JOSE,LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130026,-73.391568,-3.931736,INNOVALAB,1701.5449371,3001.1153123,76.37590679297024,1975.3038206,770.2562605,156.44761644881171,493.4020934,428.8071315,15.063873045684172,376.8933535,377.3627586,-0.12439094460234773,261.8044789,262.273884,-0.17897515865514738,31.94620559090909,31.83012259090909,0.3646954222952124,0.2178422,0.2170491,0.36540119263338056,0.57298,0.3972735,44.22809475084546,0.463028,0.798444,72.43967967379943,697.0703003,1623.6474351,132.92448902230183,0.8594224,0.4879317,76.13579933421009
160113,3 DE OCTUBRE,LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130012,-73.361572,-3.966216,INNOVALAB,1693.2473246,2986.0955707,76.35318404565692,1959.7917658,759.8947681,157.9030476417357,500.7274376,435.5174841,14.972981770124987,376.8644075,377.6051526,-0.19616922462513284,262.5652101,263.3059552,-0.2813248562636484,32.54520169090909,32.798331227272726,-0.771775657150365,0.2181697,0.2174368,0.33706345935921644,0.6192411,0.4431963,39.72163125008038,0.7182167,0.7273676,1.274114066130732,520.2393441,1263.5534306,142.87925258438753,0.7803814,0.4570114,70.75753471357606
160113,BELEN DE JUDA,LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130013,-73.384126,-3.978227,INNOVALAB,1692.3494525,2984.81202,76.37090351468055,1958.7281871,759.1783184,158.0063391731341,500.9015359,435.9633404,14.895333960974487,377.1776693,377.8384333,-0.17488003912915567,262.5741664,263.2349304,-0.2510168384552554,32.83511859090909,32.69223199090909,0.4370659061752968,0.2180391,0.2172351,0.3701059359192078,0.5707309,0.3686192,54.8294011814903,0.8356661,0.7296717,-12.683821923612786,614.3224869,1608.8268191,161.8863631735959,0.7858434,0.4638509,69.41724161794231
160113,13 DE FEBRERO,LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130031,-73.433988,-4.01441,INNOVALAB,1687.3040226,2972.6731398,76.17886877430361,1943.9527395,752.4364906,158.35439452835064,501.1398296,437.7691866,14.475811669655776,377.6803032,378.178495,-0.1317345662396727,262.5060141,263.0042059,-0.1894235106602804,32.73153811818182,32.7612616,-0.09072752502968516,0.2177098,0.2166991,0.46640710552097503,0.5044411,0.3097244,62.867730149771845,0.7821411,0.4669749,-40.29531244426357,511.1769037,876.6924588,71.50470853716703,0.6885423,0.3381381,103.62754152815079
160113,5 DE JUNIO,LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130020,-73.39309,-4.003298,INNOVALAB,1687.6116919,2974.4882338,76.25430352708497,1947.0203617,752.8546941,158.61834653598928,503.7688234,438.9232004,14.773797088170504,377.5801437,378.2123359,-0.16715271819351038,262.9678325,263.60002480000003,-0.23983013676865267,33.57246518181818,32.93611789090909,1.9320652574076904,0.2181469,0.2172718,0.4027674093002486,0.5042214,0.3473713,45.15344244040888,0.6863028,0.8205649,19.563099553141857,397.341302,993.2410033,149.9717492997997,0.6528926,0.3056871,113.58199282861463
160113,PAUJIL II ZONA,LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130030,-73.469968,-4.00331,INNOVALAB,1687.3773099,2975.6485014,76.34754740042982,1947.7634382,754.212435,158.25130265851428,496.8338023,434.8837107,14.245208563982207,377.593728,377.9842309,-0.10331195538771386,261.9097201,262.3002229,-0.14887627455385546,31.660104572727274,32.464536336363636,-2.477878492708721,0.2174959,0.2164625,0.4774037073396038,0.3364893,0.2180165,54.34120811956893,0.6552043,0.2303101,-64.84911652747091,256.5353741,447.5327368,74.45264161719365,0.6738418,0.3258644,106.78595145710916
160113,24 DE JUNIO,LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130029,-73.423672,-4.02111,INNOVALAB,1686.4539734,2968.4056679,76.01462682764492,1939.4468391,750.7588684,158.33152570455871,502.8766845,439.0720967,14.531688139498216,377.8154727,378.3487019,-0.14093591370135844,262.7917905,263.3250198,-0.20249853219607214,33.10955675454545,32.895944954545456,0.6493560233492522,0.2178774,0.216881,0.45942244825503775,0.5261234,0.3345838,57.2471231422442,0.7518794,0.5424229,-27.857725587374777,548.2394352,924.9051889,68.70460778922092,0.6784373,0.3241984,109.26608521201833
160113,NUEVO HORIZONTE,LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130033,-73.445628,-4.071663,INNOVALAB,1678.7597721,2937.7040377,74.99252046200493,1910.7220213,743.82378,156.87831885396295,505.2301858,443.0207332,14.042108627885776,378.4974882,379.0955512,-0.15776049022649882,263.2862026,263.8842655,-0.22663833285656895,32.55959717272727,33.064779336363635,-1.527855844725928,0.2178455,0.2167498,0.5055137305778391,0.4721282,0.2888982,63.42372503532386,0.8872165,0.5553374,-37.40677726349769,727.4316414,1077.9147725,48.18090266536487,0.8498376,0.3786143,124.4599847390867
160113,EX PETROLEROS II ZONA,LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130039,-73.47498,-4.064827,INNOVALAB,1677.5633112,2938.2699396,75.15106106476465,1911.8351828,743.8336966,157.0245461504143,502.1820222,441.2157386,13.817794395424134,378.3957545,378.9366987,-0.14275318327726083,262.7953284,263.3362727,-0.2054195931512394,32.23881423636364,33.03335579090909,-2.405270477436975,0.2176798,0.2165636,0.5154144094390801,0.424284,0.2533932,67.44095737375748,0.947628,0.3256254,-65.63784523040687,671.6288155,973.0984041,44.88633924611593,0.8727249,0.3660274,138.43157643389537
160113,EX PETROLERO I ZONA,LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130037,-73.453248,-4.0946109999999996,INNOVALAB,1674.42392,2922.2420704,74.5222363044121,1895.674353,739.8514523,156.22364423383317,506.6398337,445.0676481,13.83434313027526,378.798179,379.4132763,-0.1621180223313135,263.4579989,264.0730961,-0.23292687103840856,32.59872078181818,33.31468977272727,-2.149108984035057,0.2179544,0.2167979,0.5334461265538111,0.4288356,0.2754502,55.68534711537694,0.9791745,0.6120694,-37.49128475057306,616.9781065,1015.8396761,64.64760506052092,0.8508963,0.3669954,131.85475894248265
160113,SAN PEDRO PINTUYACU,LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130040,-73.402808,-4.103035,INNOVALAB,1672.0109961,2911.281589,74.11856715001421,1884.6851256,737.3209173,155.61259437770192,511.3024568,449.213968,13.821584639594287,378.7564317,379.4224875,-0.17554462952066882,264.001164,264.6672198,-0.25165783677453396,33.70220128181818,33.87923267272728,-0.5225366011657135,0.2185518,0.2174656,0.4994812972718359,0.2713061,0.2462784,10.162360970348997,0.6350077,0.4132017,-34.92965518370879,64.2315699,147.3119689,129.34511662932283,0.7898392,0.3391668,132.87633105598778
160113,SAN LUCAS,LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130045,-73.454582,-4.103997,INNOVALAB,1672.7137055,2915.8870177,74.32074646799143,1889.2128882,738.0970826,155.9572355367009,507.4334984,446.0314775,13.7662976712221,378.9082223,379.5133786,-0.15945585429225573,263.5167368,264.1218931,-0.22912008273805334,32.578102672727276,33.3807439,-2.4045037153073237,0.2180019,0.2168192,0.5454775222858533,0.4393082,0.2793256,57.27459280495593,1.0003505,0.601492,-39.87187490784479,603.8476347,1002.1725146,65.96446802311206,0.8430739,0.3616314,133.1307237148102
160113,UNION,LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130043,-73.415961,-4.127523,INNOVALAB,1669.3362227,2897.5288523,73.57371228748093,1871.7901332,735.1663777,154.60769017429453,512.471425,450.9754322,13.636217942073507,379.0160731,379.5850711,-0.1498999943151255,264.0096934,264.5786914,-0.21505813525239237,33.52687103636364,33.990808345454546,-1.3648904856155013,0.2184723,0.217286,0.5459624642176676,0.2590755,0.2234197,15.959111931490382,0.5650184,0.4973747,-11.971946400329623,67.7504303,182.5116455,169.38817169401798,0.7904221,0.3529246,123.96344714990117
160113,10 DE OCTUBRE I ZONA,LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130044,-73.448246,-4.123837,INNOVALAB,1669.6774225,2902.698159,73.84784149825803,1876.0186578,734.9836187,155.2463225123578,509.7811145,448.5016381,13.663155537090116,379.1050579,379.6823171,-0.15203742023306296,263.7162031,264.2934623,-0.21841599673955103,32.96249561818182,33.417622072727276,-1.3619354888715858,0.2180933,0.2168604,0.5685224227198609,0.355729,0.2570638,38.38160020975338,0.939129,0.7279601,-22.48561166783264,459.6957405,779.0641175,69.47386039571101,0.8452034,0.3441707,145.57680244134673
160113,CAHUIDE,LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130056,-73.487435,-4.230846,INNOVALAB,1650.2980536,2832.7034322,71.64798964772892,1808.5890743,711.9439849,154.0353051166006,511.9342826,458.2606706,11.712463111819133,380.5192957,381.1832302,-0.1741772584412185,264.3311475,264.995082,-0.25054597050976174,32.678774881818185,34.154941854545456,-4.3219718511417025,0.2181511,0.2166717,0.6827841383992427,0.3610758,0.2757729,30.932299729233733,0.6366035,0.6237134,-2.0248239288662435,238.3857892,289.7861047,21.56182030501674,0.5246164,0.2975859,76.29074495801044
160113,EL TRIUNFO,LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130046,-73.47431,-4.154149,INNOVALAB,1664.5070262,2883.3728352,73.22683472130602,1857.3424542,729.8157348,154.4947122452751,510.7445571,450.4339535,13.38944436390052,379.5052895,380.0468679,-0.1425030557395607,263.6540871,264.1956655,-0.20499140248006517,32.354487263636365,33.41420260909091,-3.171451845947173,0.2179549,0.2166667,0.5945537546840457,0.2917965,0.2359259,23.681418614912573,0.7576801,0.7837419,3.4396838454645997,75.7168344,183.8375908,142.79619222961068,0.7409055,0.2760794,168.36681766187556
160113,12 DE ABRIL,LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130055,-73.483968,-4.219298,INNOVALAB,1652.6666337,2840.0983371,71.84943891204308,1816.0749777,715.4307136,153.8435858535666,512.1244482,457.1323171,12.029806041468323,380.3977432,381.0487528,-0.17084679984288062,264.2902554,264.941265,-0.24571846141068623,32.56796221818182,33.998728527272725,-4.20829357763538,0.2181032,0.2166587,0.6667168223570008,0.3508206,0.2653851,32.19302816925291,0.7239961,0.5419636,-25.142745934681145,242.7553004,295.3404728,21.661801951740195,0.529578,0.2948196,79.62781307619981
160113,HABANA,LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130049,-73.479276,-4.203191,INNOVALAB,1656.0359106,2851.0665214,72.16211938103608,1826.7955322,720.0104017,153.71793628075304,512.2486602,455.4761355,12.464434527986379,380.2106147,380.842112,-0.1658160376970019,264.2263956,264.8578929,-0.23842872609368063,32.38608382727273,33.74079857272727,-4.015064262733726,0.2180427,0.2166505,0.6426017941338746,0.3493568,0.2562611,36.32845562592215,0.6538682,0.5720596,-12.511481671688577,256.2924032,306.7041903,19.669637675784205,0.5652825,0.3007821,87.93754681545212
160113,NUEVO MIRAFLORES,LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130054,-73.466734,-4.223144,INNOVALAB,1653.0399247,2839.3444621,71.76502634171374,1815.5104022,715.8257381,153.62463314309824,512.5965326,457.9737121,11.927064601488082,380.2389786,380.9052506,-0.17491804036580855,264.2965623,264.9628344,-0.2514587004282192,32.49322410909091,34.20851330909091,-5.0142173221663,0.2181941,0.2167727,0.6557098749058295,0.3586041,0.2692787,33.17210013268781,0.6427284,0.4988887,-22.379546321587775,234.780566,290.8310739,23.87357218484599,0.5334664,0.2953516,80.62079230313972
160113,12 DE OCTUBRE,LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130057,-73.548449,-4.246472,INNOVALAB,1642.9691196,2810.5055179,71.06258933121337,1786.878359,704.0841293,153.78762063228345,514.1454842,462.6007671,11.142376054222517,380.9705597,381.6004404,-0.1650628860228121,264.2547335,264.8846142,-0.23779437016466815,32.300067772727274,33.5602545,-3.7549975292133877,0.2181524,0.2165402,0.7445268823063839,0.192828,0.2105154,-8.40195064114074,0.3825569,0.4154991,8.611058903917309,11.8428591,23.2376364,96.21643898473805,0.5507146,0.3101244,77.57861038989516
160113,ANGEL CARDENAS,LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130074,-73.426447,-4.05018,INNOVALAB,1682.4906118,2951.5326728,75.42639775221836,1923.1431756,746.2279911,157.71522892958387,505.2074659,441.7681298,14.360324301510985,378.2193906,378.8117612,-0.1563759789620759,263.2273272,263.8196978,-0.22453615288766401,33.054476572727275,33.352167345454546,-0.8925679990864012,0.2179532,0.2169265,0.4732939497940636,0.5391196,0.3397817,58.666461436857844,0.9761611,0.5175172,-46.9844475466191,559.8146418,882.3898231,57.62178357157787,0.7579593,0.3504101,116.30635075872527
160113,CREACION 2000,LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130077,-73.395123,-4.082073,INNOVALAB,1674.9102386,2924.4176651,74.60145610814466,1898.1580354,740.2584909,156.41827263504072,510.2047975,447.3584959,14.048308498884152,378.5359144,379.2505298,-0.1884283195007832,263.909496,264.6241113,-0.2700492016730266,34.03606680909091,33.54413403636364,1.4665239895416378,0.2185382,0.2175368,0.46033590638456834,0.2939664,0.2821506,4.187763556058376,0.4156408,0.3720615,-10.48484653094691,82.2069131,196.6056874,139.15955481851077,0.7690218,0.3176846,142.07084636774965
