ubigeo,nomcp,dep,prov,dist,ubigeocp,lng,lat,group,poblacion,dengue,malaria,leptospirosis,pr_avg,ro_avg,soil_avg,tmmx_avg,tmmn_avg,etp_avg,humidity_avg,pop_avg,def_avg,ghsl_avg,ln_avg,malaria_avg,pr_diff,ro_diff,soil_diff,tmmx_diff,tmmn_diff,etp_diff,humidity_diff,pop_diff,def_diff,ghsl_diff,ln_diff,malaria_diff
160113,PEÑA NEGRA,LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130022,-73.336776,-3.863147,INNOVALAB,736,0.021739130434782608,0.005434782608695652,0.014945652173913044,2357.2706497,1375.4485243,453.75923539999997,377.40602160000003,262.3688373,31.35679013181818,0.2181338,2.13441455,0.7803863,7202.85675515,1.90086975,1840,1292.5043578000002,1196.5847776,66.71017139999998,-0.3949885999999765,-0.39498860000003333,-0.6510326454545456,6.779999999999842e-4,1.2400033000000001,0.13829859999999994,1861.1818865000005,0.9833933000000001,0.004076086956521739
160113,PUERTO ALMENDRAS,LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130004,-73.378019,-3.831725,INNOVALAB,201,0,0.13930348258706468,0,2357.7803109,1376.0656963000001,446.3376578,378.5630378,262.4592455,30.867981145454547,0.2181636,0.92539165,0.83024385,4990.40243895,1.4021699,5326.5,1295.5607208000001,1199.0686668,65.13707119999998,-0.2843606000000136,-0.2843606000000136,0.04214640000000003,7.263999999999882e-4,0.5142534999999999,-0.3676165,1193.6392102999998,0.4463725999999999,0.0845771144278607
160113,UNION PROGRESO,LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130070,-73.338717,-3.856809,INNOVALAB,216,0,0.004629629629629629,0,2358.30895315,1376.2983064,452.54153214999997,377.56905515,262.36719325,31.196417122727276,0.21814460000000002,2.1533891499999998,0.86435885,7938.052325,2.08582665,0,1292.8007329000002,1196.6051302,66.67937009999997,-0.38889770000002954,-0.3888976999999727,-0.7016586818181771,6.803999999999977e-4,1.2695911,-0.022807699999999986,2024.8920441999999,1.0270503,0
160113,NINA RUMI,LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130005,-73.385881,-3.84476,INNOVALAB,672,0,0.10863095238095238,0,2357.28233075,1375.7137796499999,448.18874985,378.36875185,262.40319345,31.175758186363637,0.2181892,0.7246117999999999,0.8038428,3207.01719855,1.0928952,39312,1297.5795262999998,1200.5713507,64.86267470000001,-0.2647656999999981,-0.2647656999999981,0.2874843363636401,7.498000000000227e-4,0.19467939999999995,0.06971260000000001,909.4501211000002,0.46411139999999995,0.08779761904761904
160113,NUEVA ESPERANZA,LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130027,-73.413631,-3.906268,INNOVALAB,36,0,0.027777777777777776,0,2354.18785295,1376.9226444,456.42348165,377.54216535,261.89790695,31.633245395454544,0.21754315000000002,0.26531415,0.3651606,410.68099735,0.5816775,18,1302.2906965,1205.4409492,63.8058853,-0.30271970000001147,-0.30271970000001147,0.4845246454545453,8.50500000000004e-4,0.05749209999999999,0.5220817999999999,288.61460170000004,0.38171879999999997,-0.027777777777777776
160113,MORALILLO,LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130025,-73.340366,-3.915436,INNOVALAB,201,0,0.03980099502487562,0.004975124378109453,2347.6271182,1366.9784957000002,462.09282035,376.8317511,262.56294219999995,32.82301765909091,0.2178933,0.96488,0.69431515,1506.8735668,0.73400855,402,1292.8779606,1199.1894758,66.11220889999998,-0.5421564000000103,-0.5421564000000103,-0.6299287909090907,7.000000000000062e-4,0.36746539999999994,0.5706959,747.2369355999999,0.5005103,0
160113,BUENA ESPERANZA,LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130063,-73.322513,-3.898959,INNOVALAB,17,0,0,0,2346.9773031,1367.27840825,460.698657,376.8979657,262.78189455,32.92644426363637,0.21807680000000002,1.1650467,0.5931198,1414.0760953,0.89650525,0,1289.1513949999999,1194.5914069,66.71258240000003,-0.49958379999998215,-0.4995837000000165,-0.5930688363636349,6.540000000000157e-4,0.4412456000000001,0.2758378,618.5950322000001,0.6971969,0
160113,SANTA BARBARA,LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130064,-73.329072,-3.944115,INNOVALAB,40,0,0.025,0.05,2340.0851190000003,1360.2344237,467.01382194999996,376.99914390000004,263.14426679999997,32.96138063181819,0.21788364999999998,0.536453,0.46340465,436.34810534999997,0.54119365,0,1290.8380264000002,1197.0418172,65.82734690000001,-0.7285396000000333,-0.7285396000000333,-0.8591642636363659,6.816999999999795e-4,0.0726346,0.3181209,396.3988185,0.3940725,0
160113,SAN CARLOS,LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130065,-73.345052,-3.95913,INNOVALAB,86,0,0,0.011627906976744186,2338.8964919,1359.09748785,468.277148,377.1148796,263.0809038,32.79628056818182,0.21779435,0.5107896000000001,0.6318917,589.5266453,0.5436677999999999,301,1292.0377564,1198.5699633,65.33784559999998,-0.7807253999999944,-0.7807253999999944,-0.6287072272727272,7.176999999999878e-4,0.09100380000000002,0.15369580000000005,422.8230214000001,0.40608959999999994,0.011627906976744186
160113,EL DORADO,LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130028,-73.40642,-3.954165,INNOVALAB,90,0,0.011111111111111112,0,2347.7097916000002,1370.079006,463.37681299999997,377.2517474,262.12600610000004,31.967979313636363,0.21717355,0.4164076,0.5628769499999999,1218.65727415,0.66223285,135,1299.1469234,1205.3397356,64.13194400000003,-0.4897727999999688,-0.48977280000002565,0.13502479090908537,8.42499999999996e-4,0.22616340000000007,-0.042644100000000074,896.1140724999999,0.3391907,-0.011111111111111112
