codigo,village,pr2021,pr2010,delta_pr,ro2021,ro2010,delta_ro,soil2021,soil2010,delta_soil,tmmx2021,tmmx2010,delta_tmax,tmmn2021,tmmn2010,delta_tmin,ETP_2021,ETP_2010,delta_ETP,humidity_2021,humidity_2010,delta_humidity,pop2020,pop2010,delta_pop,def_2021,def_2010,delta_def,GHS_2010_mean,GHS_2020_mean,delta_GHS,lat,lon
1601130022,PEÑA NEGRA,3003.5228286,1711.0184708,75.54005873447291,1973.7409131,777.1561355,153.96967519662593,487.1143211,420.4041497,15.868104881363397,377.2085273,377.6035159,-0.10460405779287832,262.171343,262.5663316,-0.15043383422127732,31.131048158333332,31.43682485,-0.9726704052514026,0.2184728,0.2177948,0.3113021982159281,2.7544162,1.5144129,81.88013321862223,0.8495356,0.711237,19.444798288053057,82.72180070814365,106.30842185128984,22.18697327,-3.8631473619999497,-73.33677619199995
1601130004,PUERTO ALMENDRAS,3005.5606713,1709.9999505,75.76378703526753,1975.6000297,776.5313629,154.41342411747684,478.9061934,413.7691222,15.742371217472153,378.4208575,378.7052181,-0.07508758432922517,262.3170652,262.6014258,-0.10828600763827749,31.15949129166667,30.75508555,1.3149231563970343,0.2185268,0.2178004,0.3335163755438411,1.1825184,0.6682649,76.95354042985048,0.6464356,1.0140521,-36.2522300382791,55.79177215189873,71.12518987341772,21.55835049,-3.8317249659999675,-73.37801906399994
1601130070,UNION PROGRESO,3004.7093196,1711.9085867,75.51809383654634,1974.6008715,777.9957413,153.80612857861158,485.8812172,419.2018471,15.906268200219476,377.3746063,377.763504,-0.10294739853959782,262.1727444,262.5616421,-0.14811672294914122,30.941474475,31.27390025,-1.0629495276976233,0.2184848,0.2178044,0.31239038329804064,2.7881847,1.5185936,83.60308511770364,0.852955,0.8757627,-2.604324207916138,90.30311471258547,116.7337300582426,22.64179799,-3.8568092579999416,-73.33871701599998
1601130005,NINA RUMI,3006.0720939,1708.4925676,75.94879550004545,1975.999455,775.4281043,154.82690710363,480.6200872,415.7574125,15.601086775572526,378.236369,378.5011347,-0.0699510980884777,262.2708106,262.5355763,-0.10084945580763871,31.623332016666666,30.869878316666668,2.4407407514567616,0.2185641,0.2178143,0.34423818821813934,0.8219515,0.6272721,31.035877412689,0.8386991,0.7689865,9.065516754845502,34.60997847283779,45.77827022920096,24.39649139,-3.8447595399999273,-73.38588096899997
1601130024,VARILLAL,3002.8927156,1707.225223,75.8931788931284,1973.3673935,773.0794351,155.2606244460169,490.1191427,423.9776858,15.600221218057314,376.9163479,377.3191675,-0.10675831887071749,262.0516601,262.4544797,-0.15348170107838577,31.751943591666667,31.784402016666668,-0.10212060929439984,0.218355,0.2176561,0.32110287742911975,1.898861,1.1489897,65.26353543465184,1.3166787,0.6764592,94.64273676815984,37.850721701696635,52.714864522663966,28.1972513,-3.8876902749999545,-73.35141680199996
1601130027,NUEVA ESPERANZA,3005.3332012,1703.0425047,76.46847879051646,1979.643119,774.2021698,155.7010553860114,488.3264243,424.520539,15.030105598730525,377.3908055,377.6935252,-0.08014956037165645,261.7465471,262.0492668,-0.11552014767934908,32.03253865833334,31.330586175,2.240470316809629,0.2179684,0.2171179,0.391722653912922,0.2940602,0.2365681,24.302558121741683,0.6262015,0.1041197,501.42461032830477,3.414334557426871,7.368620995314677,53.66385977,-3.906267507999928,-73.41363058399997
1601130025,MORALILLO,2994.0660985,1701.1881379,75.99852901607751,1966.5732336,767.3837578,156.26985372194179,495.1489248,429.0367159,15.409452489704737,376.5606729,377.1028293,-0.14376884973427334,262.291864,262.8340204,-0.20627329718387183,32.708934375,33.03528073333333,-0.9878722114325525,0.2182433,0.2175433,0.32177502134058195,1.1486127,0.7811473,47.04175512096118,0.9796631,0.4089672,139.54564082400742,14.369119878603945,23.750885179564996,39.50069747,-3.915436227999976,-73.34036586599996
1601130063,BUENA ESPERANZA,2991.5530006,1702.4016056,75.72545695207137,1964.5741117,769.9827048,155.1452259191056,494.0549482,427.3423658,15.611038768672449,376.6481738,377.1477576,-0.1324636803302532,262.5321027,263.0316864,-0.18993289623679974,32.930620991666665,33.147929141666665,-0.6555708173239891,0.2184038,0.2177498,0.3003447075496812,1.3856695,0.9444239,46.72113867512248,0.7310387,0.4552009,60.59693642960723,16.64731182795699,25.326249209361166,34.26854608,-3.8989590399999656,-73.32251329799993
1601130064,SANTA BARBARA,2985.5041322,1694.6661058,76.17064045726194,1958.7553323,761.7135151,157.1511852514326,499.9274954,434.1001485,15.16409223250934,376.6348741,377.3634137,-0.19306047527416492,262.779997,263.5085366,-0.2764766596939286,32.769844166666665,33.324430075,-1.6642022296711005,0.2182245,0.2175428,0.31336362315828403,0.5727703,0.5001357,14.522978463644966,0.6224651,0.3043442,104.5266839322057,2.8623307604707073,7.567379476148298,62.17540339,-3.944115303999979,-73.32907199499994
1601130065,SAN CARLOS,2984.9153701,1692.8776137,76.32198251922576,1958.3824695,759.8125062,157.7454903044869,500.9460708,435.6082252,14.999222195586766,376.7245169,377.5052423,-0.20681180352445513,262.6905411,263.4712665,-0.29632278706186516,32.74498173333333,33.037977641666664,-0.886845773404158,0.2181532,0.2174355,0.3300748957736836,0.5562915,0.4652877,19.558608577015903,0.7087396,0.5550438,27.690751612755616,4.777848101265823,9.97632911392405,52.10815475,-3.959130398999946,-73.34505209399998
1601130028,EL DORADO,2997.2832533,1698.1363299,76.50427710221031,1972.7488738,767.4091382,157.06611709461657,495.442785,431.310841,14.869077682190705,377.006861,377.4966338,-0.12974229599606268,261.8811197,262.3708925,-0.1866719266505623,31.86200953333333,32.091578416666664,-0.7153555376824543,0.2175948,0.2167523,0.3886925305982894,0.5294893,0.3033259,74.56118979618954,0.5415549,0.584199,-7.2995845593710476,10.342151898734178,21.86139240506329,52.69216294,-3.954165474999968,-73.40641990799998
1601130034,NUEVO MILAGRO,2998.0975078,1700.3967696,76.31752549760903,1971.4787693,767.5107764,156.8665913131796,495.6623545,430.5463311,15.124045589619941,376.7063023,377.2918545,-0.1551987388585393,261.9441213,262.5296735,-0.22304229163641384,31.992602983333335,32.428026325000005,-1.3427377210773561,0.2179974,0.2172507,0.3437043010678524,0.6840985,0.4770663,43.39694503678002,0.927427,0.5974134,55.24040806583851,8.920263257815467,21.79331730160739,59.06881392,-3.93826106399996,-73.37464131199994
