ubigeocp,poblacion,cases_2010,cases_2019
1601060078,59,0,0
1601060079,55,0,0
1601080001,69401,81,115
1601080002,851,8,134
1601080003,73,0,49
1601080004,13,1,0
1601080005,58,0,1
1601080006,29,0,0
1601080007,5,0,1
1601080008,160,7,102
1601080009,15,0,0
1601080010,126,10,21
1601080011,43,2,4
1601080012,101,3,0
1601080013,105,1,0
1601080014,28,8,0
1601080015,31,0,3
1601080016,48,0,0
1601080017,16,0,0
1601080019,36,0,1
1601080021,249,2,1
1601080022,18,0,0
1601080023,56,12,3
1601080024,11,0,0
1601080025,176,1,0
1601080026,95,0,0
1601080027,12,5,2
1601080028,242,2,0
1601080029,251,0,0
1601080030,9,0,0
1601080031,673,1,6
1601080032,108,0,0
1601080033,17,6,1
1601080034,324,0,7
1601080035,12,0,0
1601080036,130,0,0
1601080037,218,0,3
1601080038,85,1,0
1601080039,130,33,28
1601080040,20,3,5
1601080041,49,19,0
1601080043,70,5,0
1601080044,47,0,2
1601080045,3,1,2
1601080046,209,3,0
1601080047,34,5,0
1601080048,40,4,3
1601080049,46,2,20
1601080050,24,17,2
1601080051,27,4,2
1601080052,6,0,0
1601080053,58,5,2
1601080054,70,0,0
1601080055,383,14,11
1601080060,93,0,0
1601080061,20,0,0
1601080062,56,0,0
1601120001,56462,65,24
1601120002,19,0,0
1601120003,240,0,1
1601120004,53,0,0
1601120005,51,0,0
1601120007,152,3,0
1601120008,134,1,0
1601120009,125,0,0
1601120010,84,0,0
1601120011,580,0,0
1601120012,45,0,0
1601120013,118,0,0
1601120014,92,0,0
1601120015,104,0,0
1601120016,25,0,0
1601120017,385,0,0
1601120019,3,1,0
1601120021,175,1,0
1601120022,108,0,0
1601120023,95,11,0
1601120024,7,0,0
1601120026,85,0,2
1601120027,130,0,0
1601120029,93,0,0
1601120030,993,0,1
1601120031,694,0,0
1601120032,538,1,1
1601120033,237,0,0
1601120034,53,0,0
1601120035,75,0,0
1601120043,41,0,0
1601120044,47,0,0
1601120045,10,3,0
1601120046,61,0,0
1601120047,19,1,0
1601120048,157,6,2
1601120049,147,17,4
1601120050,50,4,2
1601120052,491,0,0
1601120056,91,1,2
1601120057,73,1,0
1601120058,49,5,0
1601120061,176,0,0
1601120062,183,0,0
1601120063,58,0,0
1601120064,186,1,1
1601120065,106,0,0
1601120066,188,0,0
1601120067,151,0,0
1601120068,2,0,0
1601120069,57,0,0
1601120070,0,0,0
1601120071,28,0,0
1601120072,7,0,0
1601120073,51,0,0
1601120076,25,0,0
1601120077,53,0,0
1601120079,8,0,0
1601120081,18,0,0
1601130001,99151,847,81
1601130002,2375,32,58
1601130003,4746,450,133
1601130004,201,18,35
1601130005,672,29,88
1601130006,267,66,106
1601130007,25,0,0
1601130008,34,5,4
1601130009,23,0,0
1601130010,42,0,2
1601130011,20,0,1
1601130012,35,0,0
1601130013,23,0,0
1601130014,22,1,1
1601130015,1214,264,51
1601130017,2172,85,59
1601130018,813,120,134
1601130020,31,0,0
1601130021,54,1,1
1601130022,736,1,4
1601130023,139,6,0
1601130024,743,9,64
1601130025,201,2,2
1601130026,123,1,2
1601130027,36,1,0
1601130028,90,2,1
1601130029,16,0,0
1601130030,51,0,0
1601130031,670,29,0
1601130032,145,2,0
1601130033,308,0,0
1601130034,163,1,0
1601130035,60,0,3
1601130036,65,1,0
1601130037,796,4,3
1601130039,9,1,0
1601130040,21,1,0
1601130041,48,0,0
1601130042,68,0,0
1601130043,16,76,8
1601130044,43,0,0
1601130045,186,13,1
1601130046,112,2,0
1601130047,45,0,0
1601130048,40,1,0
1601130049,112,0,0
1601130051,54,0,0
1601130052,44,0,0
1601130054,89,0,0
1601130055,244,0,0
1601130056,794,6,24
1601130057,61,1,0
1601130058,109,0,0
1601130059,64,0,2
1601130060,63,0,0
1601130061,38,0,0
1601130063,17,0,0
1601130064,40,0,0
1601130065,86,3,4
1601130066,98,7,1
1601130067,22,0,0
1601130069,4366,0,0
1601130070,216,0,0
1601130072,4,0,0
1601130074,50,0,0
1601130077,12,0,0
1601130078,16,0,0
1601130079,59,0,0
1601130080,18,0,0
1601130081,28,0,0
1601130082,86,0,0
1601130083,13,0,0
1601130084,10,0,0
1601130086,104,0,0
1601130088,20,0,0
1601130089,17,0,0
1601130090,31,0,0
1601130092,1,0,0
1601130093,1155,0,0
1601130095,968,0,0
1601130097,98,0,0
1601130098,178,0,0
1601130099,242,0,0
1601130100,134,0,0
1601130101,394,0,0
1603010001,19551,195,180
1603010002,335,1,1
1603010003,852,3,1
1603010004,478,4,1
1603010005,164,0,0
1603010006,70,0,0
1603010007,246,1,0
1603010008,19,0,0
1603010009,84,0,0
1603010010,11,1,1
1603010011,107,1,0
1603010012,35,0,0
1603010013,45,0,0
1603010014,186,0,1
1603010015,42,2,2
1603010016,91,2,9
1603010017,25,0,1
1603010018,215,0,0
1603010019,273,1,0
1603010020,96,1,2
1603010021,25,0,2
1603010022,17,1,0
1603010024,170,1,0
1603010025,581,8,12
1603010026,41,0,0
1603010031,24,2,0
1603010032,331,30,5
1603010033,47,0,0
1603010034,49,0,1
1603010035,88,0,0
1603010036,112,1,0
1603010037,134,3,2
1603010039,154,0,0
1603010040,21,0,0
1603010041,10,2,0
1603010042,92,0,0
1603010043,97,0,0
1603010044,21,0,1
1603010046,84,0,0
1603010048,36,0,0
1603010049,7,0,0
1603010050,37,0,0
1603010051,208,0,2
1603010052,241,0,0
1603010053,63,0,0
1603010054,218,1,0
1603010055,97,2,2
1603010056,112,0,1
1603010057,128,0,1
1603010058,13,0,0
1603010061,142,6,1
1603010062,80,0,1
1603010063,397,1,0
1603010064,116,0,0
1603010065,42,0,0
1603010066,15,1,0
1603010067,94,0,0
1603010068,381,1,2
1603010069,0,3,0
1603010070,89,0,0
1603010071,0,0,0
1603010072,270,0,0
1603010073,317,1,0
1603010074,283,0,0
1603010075,101,0,0
