ubigeocp,pr_2010,pr_2021,ro_2021,ro_2010,soil_2021,soil_2010,tmmx_2021,tmmx_2010,tmmn_2021,tmmn_2010,etp_2021,etp_2010,humidity_2021,humidity_2010,pop_2020,pop_2010,def_2010,def_2021,ghsl_2010,ghsl_2020,ln_2021,ln_2014
1601130029,1686.4539734,2968.4056679,1939.4468391,750.7588684,502.8766845,439.0720967,377.8154727,378.3487019,262.7917905,263.3250198,33.10955675454545,32.895944954545456,0.2178774,0.216881,0.5261234,0.3345838,0.7518794,0.5424229,548.2394352,924.9051889,0.6784373,0.3241984
1601130033,1678.7597721,2937.7040377,1910.7220213,743.82378,505.2301858,443.0207332,378.4974882,379.0955512,263.2862026,263.8842655,32.55959717272727,33.064779336363635,0.2178455,0.2167498,0.4721282,0.2888982,0.8872165,0.5553374,727.4316414,1077.9147725,0.8498376,0.3786143
1601130039,1677.5633112,2938.2699396,1911.8351828,743.8336966,502.1820222,441.2157386,378.3957545,378.9366987,262.7953284,263.3362727,32.23881423636364,33.03335579090909,0.2176798,0.2165636,0.424284,0.2533932,0.947628,0.3256254,671.6288155,973.0984041,0.8727249,0.3660274
1601130037,1674.42392,2922.2420704,1895.674353,739.8514523,506.6398337,445.0676481,378.798179,379.4132763,263.4579989,264.0730961,32.59872078181818,33.31468977272727,0.2179544,0.2167979,0.4288356,0.2754502,0.9791745,0.6120694,616.9781065,1015.8396761,0.8508963,0.3669954
1601130040,1672.0109961,2911.281589,1884.6851256,737.3209173,511.3024568,449.213968,378.7564317,379.4224875,264.001164,264.6672198,33.70220128181818,33.87923267272728,0.2185518,0.2174656,0.2713061,0.2462784,0.6350077,0.4132017,64.2315699,147.3119689,0.7898392,0.3391668
1601130045,1672.7137055,2915.8870177,1889.2128882,738.0970826,507.4334984,446.0314775,378.9082223,379.5133786,263.5167368,264.1218931,32.578102672727276,33.3807439,0.2180019,0.2168192,0.4393082,0.2793256,1.0003505,0.601492,603.8476347,1002.1725146,0.8430739,0.3616314
1601130043,1669.3362227,2897.5288523,1871.7901332,735.1663777,512.471425,450.9754322,379.0160731,379.5850711,264.0096934,264.5786914,33.52687103636364,33.990808345454546,0.2184723,0.217286,0.2590755,0.2234197,0.5650184,0.4973747,67.7504303,182.5116455,0.7904221,0.3529246
1601130044,1669.6774225,2902.698159,1876.0186578,734.9836187,509.7811145,448.5016381,379.1050579,379.6823171,263.7162031,264.2934623,32.96249561818182,33.417622072727276,0.2180933,0.2168604,0.355729,0.2570638,0.939129,0.7279601,459.6957405,779.0641175,0.8452034,0.3441707
1601130056,1650.2980536,2832.7034322,1808.5890743,711.9439849,511.9342826,458.2606706,380.5192957,381.1832302,264.3311475,264.995082,32.678774881818185,34.154941854545456,0.2181511,0.2166717,0.3610758,0.2757729,0.6366035,0.6237134,238.3857892,289.7861047,0.5246164,0.2975859
1601130046,1664.5070262,2883.3728352,1857.3424542,729.8157348,510.7445571,450.4339535,379.5052895,380.0468679,263.6540871,264.1956655,32.354487263636365,33.41420260909091,0.2179549,0.2166667,0.2917965,0.2359259,0.7576801,0.7837419,75.7168344,183.8375908,0.7409055,0.2760794
1601130055,1652.6666337,2840.0983371,1816.0749777,715.4307136,512.1244482,457.1323171,380.3977432,381.0487528,264.2902554,264.941265,32.56796221818182,33.998728527272725,0.2181032,0.2166587,0.3508206,0.2653851,0.7239961,0.5419636,242.7553004,295.3404728,0.529578,0.2948196
1601130049,1656.0359106,2851.0665214,1826.7955322,720.0104017,512.2486602,455.4761355,380.2106147,380.842112,264.2263956,264.8578929,32.38608382727273,33.74079857272727,0.2180427,0.2166505,0.3493568,0.2562611,0.6538682,0.5720596,256.2924032,306.7041903,0.5652825,0.3007821
1601130054,1653.0399247,2839.3444621,1815.5104022,715.8257381,512.5965326,457.9737121,380.2389786,380.9052506,264.2965623,264.9628344,32.49322410909091,34.20851330909091,0.2181941,0.2167727,0.3586041,0.2692787,0.6427284,0.4988887,234.780566,290.8310739,0.5334664,0.2953516
1601130057,1642.9691196,2810.5055179,1786.878359,704.0841293,514.1454842,462.6007671,380.9705597,381.6004404,264.2547335,264.8846142,32.300067772727274,33.5602545,0.2181524,0.2165402,0.192828,0.2105154,0.3825569,0.4154991,11.8428591,23.2376364,0.5507146,0.3101244
1601130074,1682.4906118,2951.5326728,1923.1431756,746.2279911,505.2074659,441.7681298,378.2193906,378.8117612,263.2273272,263.8196978,33.054476572727275,33.352167345454546,0.2179532,0.2169265,0.5391196,0.3397817,0.9761611,0.5175172,559.8146418,882.3898231,0.7579593,0.3504101
1601130077,1674.9102386,2924.4176651,1898.1580354,740.2584909,510.2047975,447.3584959,378.5359144,379.2505298,263.909496,264.6241113,34.03606680909091,33.54413403636364,0.2185382,0.2175368,0.2939664,0.2821506,0.4156408,0.3720615,82.2069131,196.6056874,0.7690218,0.3176846
1601130078,1667.0729136,2896.4430254,1869.5150975,732.6530047,507.0724136,447.3548411,379.1756757,379.7192407,263.0880804,263.6316454,32.06339641818182,33.415093090909096,0.2175566,0.2162327,0.2524172,0.2090602,0.7793685,0.8463396,51.3578578,160.2284243,0.7608044,0.2910447
1601130079,1662.9073185,2877.0502746,1851.3410362,727.8842595,510.5827948,451.0103271,379.6343758,380.1535801,263.5312534,264.0504577,32.4977108,33.34995545454545,0.2177073,0.2163798,0.2835554,0.2274572,0.8671893,0.7307749,77.4152817,135.2448474,0.6984266,0.2785527
1601130082,1665.2062927,2885.0920154,1859.1518749,730.7470565,511.3167804,450.6152419,379.4678045,380.0148857,263.8059909,264.3530721,32.48082829090909,33.45233251818182,0.2181008,0.2168342,0.2933368,0.2373105,0.8328569,0.791559,69.1865827,165.7705848,0.7621212,0.2754348
1601130083,1653.74927,2839.7306112,1816.1533284,716.9833705,513.1309973,458.6927147,379.9882158,380.6552685,264.171121,264.8381737,32.21274797272727,34.348507545454545,0.2182064,0.2167989,0.3439726,0.2497306,0.6164688,0.4044015,231.9926266,291.5534004,0.5574029,0.2882293
