ubigeo,nomcp,dep,prov,dist,ubigeocp,lng,lat,group
160301,1 DE FEBRERO,LORETO,LORETO,NAUTA,1603010099,-73.55276,-4.356997,INNOVALAB
160301,PUERTO PRADO,LORETO,LORETO,NAUTA,1603010101,-73.538462,-4.471702,INNOVALAB
160301,NAUTA,LORETO,LORETO,NAUTA,1603010001,-73.569425,-4.501522,INNOVALAB
160112,SAN JUAN DE MUNICH,LORETO,MAYNAS,BELEN,1601120049,-73.32016,-3.93564,INNOVALAB
160112,5 DE DICIEMBRE,LORETO,MAYNAS,BELEN,1601120076,-73.318977,-3.881458,INNOVALAB
160113,VILLA CRUZ,LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130098,-73.373493,-3.853171,INNOVALAB
160113,SAN CIRILO,LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130099,-73.455098,-4.056845,INNOVALAB
160113,LLANCHAMA,LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130006,-73.409216,-3.857972,DIRESA
160113,EL VARILLAL,LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130024,-73.351417,-3.88769,DIRESA
160113,EL PAUJIL,LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130032,-73.437658,-4.0423,DIRESA
160113,ZUNGAROCOCHA,LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130018,-73.354973,-3.828583,DIRESA
160113,QUISTOCOCHA,LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130017,-73.326179,-3.822999,DIRESA
